Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_c09823961870565d6322563133bb3884,entityid_b4ed6dbf9ab9fa54785f2e4221c902ce,Undirected,23132,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5edc5f070575849cc7ca97072796cbbb,Undirected,23133,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_c676fc1be24948648c31a8f7825c4582,Undirected,23134,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_94fb7a8b9301d5f51ff9c10ed7519fd2,Undirected,23135,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_f5ee2700ba00b53a7e3cf7c6448f6ca1,Undirected,23136,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_737ec1cf2aa39ec24a28eea958faf591,Undirected,23137,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e42243ad6c7e314dd7fda1ebb5f53076,Undirected,23138,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_073e9586bf8799c5e67057eb276dc75c,Undirected,23139,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_f5adb328fae1a18cd88d858c890e5740,Undirected,23140,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_577694082a708101641ddfe5021e7d6f,Undirected,23141,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_291d2021d6e8886229af7f720e3804c9,Undirected,23142,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_40f860cd4e85a361d7233fd9dea4db75,Undirected,23143,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_2bce61572e390d399602805503dc272e,Undirected,23144,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_6410cf236cec48110826e5161587db80,Undirected,23145,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b4597ad321c1273280ebb7478a279e26,Undirected,23146,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_022ec9014973a84f85c8a1c221e5a41b,Undirected,23147,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_f4ccf6bd8dafbc7ecb491ee2959051a1,Undirected,23148,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_56e8833ed87e9db490934050b0e76618,Undirected,23149,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a54dc4fdfc670f2da2cb9e0feed63ba3,Undirected,23150,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_15adada49d127180784a78a24c6f285c,Undirected,23151,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_ac50568b0df23113585017dbd6689c1c,Undirected,23152,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_894f2ec5eba882d4e971f62fb14e29af,Undirected,23153,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_3628663afc872bfa70fef13100b490a0,Undirected,23154,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_675a7359a76971896e80c990cbe0ccda,Undirected,23155,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_423a0a4e33a1ef2aade5c87d6f250fb4,Undirected,23156,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_ceb6ea67e612f70b39b452524a157e62,Undirected,23157,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d88fb52d875827de74b37f513f4d1ca0,Undirected,23158,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fd8f79f7f9003d702b06546d70157123,Undirected,23159,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b56f3ac19ca78eff5987b9770830daca,Undirected,23160,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_792613599b5048f60cfe402d4a98f81e,Undirected,23161,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_13ae061de6e6bb8aaa44e7fe862c6fd2,Undirected,23162,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_48b304564642ad31a3010965a4b4eaf1,Undirected,23163,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_45386dec28bad90e289291b10aed51c2,Undirected,23164,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_d275750727c5fade71bec42adc7d35f5,Undirected,23165,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_b66c6255e45385f03214ac4d2027686b,Undirected,23166,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_c7adf8d9cecd38a50185736e4d0be4c7,Undirected,23167,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e8c9e1678d012b3e04359d7b3c89cfbc,Undirected,23168,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_442d6f3b456a61179eba27da9e833f4c,Undirected,23169,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_345d6687c7f4fc7f3523070fa8825578,Undirected,23170,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_925832578d956a88c112979d0f9bd816,Undirected,23171,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_20381621b313b51571abc785a7f79f3e,Undirected,23172,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5dcf1f1b8da4667cf74eda24bfab6d24,Undirected,23173,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_0b7298194656d41e9c99f2f644fcd4db,Undirected,23174,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fdffb061e060f71e1d874756858a65b3,Undirected,23175,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a7b0a362896e93edbe3a1629b51885e0,Undirected,23176,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e44ee5a627df34e01c1d3fa0156f332b,Undirected,23177,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_fe044a8ce1fbd618f7c8607ea10e8353,Undirected,23178,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_2c87f10f55d7e97b6dcab37113576901,Undirected,23179,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_019375dde5eeb181e9d4ae9100b816d5,Undirected,23180,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_c861725cf2fdb5906674def43249f587,Undirected,23181,,,1,,1
