date,time,desc,boro,lat,lon
05/11/2016,05:05:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.818413984,-73.907277131
05/09/2016,20:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.857082061999996,-73.901352508
05/08/2016,02:28:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.671411663,-73.88151172399999
05/08/2016,00:43:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.689491039,-73.908018925
05/07/2016,23:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.817755155,-73.91801901
05/06/2016,21:13:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.696979876,-73.792740591
05/03/2016,10:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.836678228000004,-73.915596087
05/02/2016,10:22:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.578510134,-73.934900975
04/29/2016,10:30:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.663996333,-73.893848712
04/28/2016,04:14:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.861063085,-73.893447414
04/27/2016,22:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.820411063,-73.893331855
04/26/2016,11:49:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.699837274000004,-73.913089739
04/24/2016,15:08:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.872845399,-73.898794425
04/23/2016,06:44:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.835577916999995,-73.908803531
04/21/2016,15:22:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.689097532,-73.925616087
04/19/2016,22:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.686082215,-73.919233753
04/19/2016,01:03:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.869588539,-73.900050398
04/18/2016,06:17:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.847688805,-73.934930327
04/17/2016,22:32:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.816366145,-73.86762631100001
04/17/2016,02:11:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.801392385999996,-73.93271089
04/16/2016,05:45:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.703499897,-73.76749538600001
04/15/2016,01:00:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.740824511,-73.97426085800001
04/15/2016,00:02:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.833450977,-73.943407506
04/14/2016,22:44:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.727606514,-73.97781979
